node_id,x,y,unique_agency_id,route_type,stop_id,stop_name,parent_station,stop_code,wheelchair_boarding,zone_id,location_type,net_type
14673_gvb,4.800805,52.367962,gvb,3.0,14673,"Amsterdam, Herman Bonpad",stoparea:2813,03108,1.0,,0,transit
15560_gvb,4.844586,52.36942,gvb,0.0,15560,"Amsterdam, Adm. Helfrichstraat",stoparea:2806,03180,0.0,,0,transit
14795_gvb,4.794261,52.360981,gvb,3.0,14795,"Amsterdam, Reimerswaalstraat",stoparea:2470,04028,0.0,,0,transit
14361_gvb,4.840146,52.35794,gvb,0.0,14361,"Amsterdam, Derkinderenstraat",stoparea:2255,04061,1.0,,0,transit
2345161_gvb,4.808063,52.358605,gvb,3.0,2345161,"Amsterdam, Osdorpplein Oost",stoparea:372783,04064,,,0,transit
96454_gvb,4.83435,52.353086,gvb,1.0,96454,"Amsterdam, Heemstedestraat",stoparea:26647,04320,1.0,,0,transit
96456_gvb,4.834462,52.358174,gvb,1.0,96456,"Amsterdam, Station Lelylaan",stoparea:26648,04322,1.0,,0,transit
2393378_gvb,4.903347,52.379004,gvb,0.0,2393378,"Amsterdam, Centraal Station",stoparea:285522,05029,,,0,transit
14659_gvb,4.862394,52.364727,gvb,0.0,14659,"Amsterdam, J.P. Heijestraat",stoparea:2799,06016,0.0,,0,transit
14647_gvb,4.859674,52.358837,gvb,0.0,14647,"Amsterdam, Rhijnvis Feithstraat",stoparea:2787,06082,1.0,,0,transit
2402565_connexxion,4.857779,52.349077,connexxion,3.0,2402565,"Amsterdam, Haarlemmermeerstation",stoparea:344511,57002170,0.0,CXX:57002170,0,transit
1530854_gvb,4.899047,52.358683,gvb,0.0,1530854,"Amsterdam, Frederiksplein",stoparea:2346,09102,0.0,,0,transit
1689909_gvb,4.939231,52.371236,gvb,3.0,1689909,"Amsterdam, Borneolaan",stoparea:339160,08056,1.0,,0,transit
2400779_gvb,4.938373,52.370477,gvb,3.0,2400779,"Amsterdam, Borneolaan",stoparea:380999,08087,1.0,,0,transit
1240727_gvb,4.932539,52.360883,gvb,0.0,1240727,"Amsterdam, Muiderpoortstation",stoparea:2877,00441,1.0,,0,transit
2334126_allgo_(keolis),4.960131,52.324999,allgo_(keolis),3.0,2334126,"Amsterdam, Echtenstein",stoparea:368148,30000119,1.0,,0,transit
15182_gvb,4.984007,52.31907,gvb,3.0,15182,"Amsterdam, Koornhorst",stoparea:2294,00134,0.0,,0,transit
15825_gvb,4.94525,52.322751,gvb,3.0,15825,"Amsterdam, Dostojevskisingel",stoparea:2778,00351,1.0,,0,transit
