BU_CODE,pop,hh,p_hh_low_income,p_hh_lowest_20,p_hh_highest_40,cars_per_hh,nr_w_migr,nr_nw_migr,avg_inc_per_res,area_total,area_land,pop_density,house_price,nr_hh_low_income,1-nr_hh_low_income,nr_hh_lowest_20,nr_hh_highest_40,p_w_migr,p_nw_migr
BU03632303,2240,1370,0.028999999999999998,0.355,0.32799999999999996,1.8,655,890,,0.22,0.22,10337.0,651,39.73,1330.27,486.34999999999997,449.35999999999996,,0.39732142857142855
BU03632304,960,845,0.139,0.8740000000000001,0.062,0.2,260,290,,0.29,0.29,3315.0,638,117.45500000000001,727.545,738.5300000000001,52.39,,0.3020833333333333
BU03632400,2540,1590,0.106,0.46299999999999997,0.23399999999999999,0.4,655,365,,0.14,0.12,21713.0,493,168.54,1421.46,736.17,372.06,,0.1437007874015748
BU03632401,1995,1325,0.157,0.562,0.158,0.2,560,465,,0.11,0.1,20156.0,431,208.025,1116.975,744.6500000000001,209.35,,0.23308270676691728
BU03632402,2600,1735,0.121,0.479,0.19,0.3,780,460,41.0,0.12,0.11,23235.0,453,209.935,1525.065,831.0649999999999,329.65,,0.17692307692307693
BU03632403,2585,1750,0.155,0.5770000000000001,0.133,0.3,660,620,34.1,0.08,0.08,32381.0,367,271.25,1478.75,1009.7500000000001,232.75,,0.23984526112185686
BU03632404,5030,3385,0.122,0.535,0.165,0.3,1385,935,37.6,0.23,0.23,22179.0,402,412.96999999999997,2972.03,1810.9750000000001,558.525,,0.18588469184890655
BU03632500,2615,1800,0.149,0.605,0.14800000000000002,0.3,595,580,34.2,0.12,0.11,24450.0,377,268.2,1531.8,1089.0,266.40000000000003,,0.22179732313575526
BU03632501,3805,2425,0.127,0.48100000000000004,0.201,0.4,1015,750,38.9,0.14,0.14,27922.0,413,307.975,2117.025,1166.4250000000002,487.425,,0.19710906701708278
BU03632502,2435,1430,0.141,0.523,0.16,0.3,580,640,,0.13,0.12,19679.0,393,201.62999999999997,1228.3700000000001,747.89,228.8,,0.26283367556468173
BU03632503,3515,2220,0.11,0.512,0.18100000000000002,0.3,855,695,36.2,0.16,0.15,23994.0,395,244.2,1975.8,1136.64,401.82000000000005,,0.19772403982930298
