WK_CODE,pop,hh,p_hh_low_income,p_hh_lowest_20,p_hh_highest_40,cars_per_hh,nr_w_migr,nr_nw_migr,avg_inc_per_res,area_total,area_land,pop_density,house_price,nr_hh_low_income,1-nr_hh_low_income,nr_hh_lowest_20,nr_hh_highest_40,nr_migr,nr_dutch,p_w_migr,p_nw_migr,p_dutch,p_migr
WK036385,8060,3760,0.145,0.529,0.159,0.6,1305,3695,23.8,1.55,1.11,7263.0,289,545.1999999999999,3214.8,1989.0400000000002,597.84,5000,3060,0.1619106699751861,0.45843672456575685,0.37965260545905705,0.6203473945409429
WK036386,13915,7310,0.115,0.509,0.136,0.4,2365,7485,24.8,1.54,1.45,9569.0,286,840.6500000000001,6469.35,3720.79,994.1600000000001,9850,4065,0.16996047430830039,0.5379087315846209,0.2921307941070787,0.7078692058929213
WK036387,10575,6515,0.132,0.5710000000000001,0.14300000000000002,0.3,2655,4015,31.7,1.5,1.41,7486.0,271,859.98,5655.02,3720.0650000000005,931.6450000000001,6670,3905,0.251063829787234,0.3796690307328605,0.3692671394799054,0.6307328605200946
WK036388,13960,6195,0.057,0.309,0.294,0.9,2315,4055,31.2,5.94,4.67,2991.0,360,353.115,5841.885,1914.2549999999999,1821.33,6370,7590,0.16583094555873926,0.2904727793696275,0.5436962750716332,0.45630372492836674
WK036389,10640,5690,0.14800000000000002,0.618,0.10099999999999999,0.4,1780,5340,22.4,1.31,1.25,8519.0,270,842.1200000000001,4847.88,3516.42,574.6899999999999,7120,3520,0.16729323308270677,0.5018796992481203,0.3308270676691729,0.6691729323308271
WK036390,13530,7795,0.078,0.457,0.21100000000000002,0.6,3705,3275,37.6,3.55,2.85,4753.0,392,608.01,7186.99,3562.315,1644.7450000000001,6980,6550,0.2738359201773836,0.24205469327420548,0.48410938654841096,0.515890613451589
WK036391,7915,4515,0.09300000000000001,0.47600000000000003,0.18100000000000002,0.6,2030,2220,34.8,1.7,1.53,5166.0,400,419.89500000000004,4095.105,2149.1400000000003,817.2150000000001,4250,3665,0.25647504737839544,0.2804801010739103,0.46304485154769426,0.5369551484523057
WK036392,710,565,0.183,0.892,0.024,,130,275,,5.27,4.98,143.0,84,103.395,461.605,503.98,13.56,405,305,0.18309859154929578,0.3873239436619718,0.4295774647887324,0.5704225352112676
WK036393,24170,13475,0.204,0.682,0.057,0.4,2785,17355,19.3,3.16,3.03,7984.0,182,2748.8999999999996,10726.1,9189.95,768.075,20140,4030,0.11522548613984278,0.7180388911874225,0.16673562267273478,0.8332643773272652
WK036394,29455,15495,0.172,0.594,0.096,0.5,3085,20075,21.5,4.08,3.7,7955.0,215,2665.14,12829.86,9204.029999999999,1487.52,23160,6295,0.10473603802410457,0.6815481242573417,0.21371583771855374,0.7862841622814463
WK036395,2920,1770,0.071,0.46299999999999997,0.091,0.6,565,985,29.5,2.95,2.19,1335.0,202,125.66999999999999,1644.33,819.51,161.07,1550,1370,0.1934931506849315,0.3373287671232877,0.4691780821917808,0.5308219178082192
WK036396,18255,9175,0.156,0.574,0.085,0.5,1790,11390,20.7,2.71,2.6,7034.0,203,1431.3,7743.7,5266.45,779.875,13180,5075,0.09805532730758697,0.6239386469460422,0.27800602574637084,0.7219939742536291
WK036397,11435,5590,0.131,0.48200000000000004,0.134,0.7,1345,6010,23.8,1.92,1.83,6238.0,219,732.2900000000001,4857.71,2694.38,749.0600000000001,7355,4080,0.11762133799737648,0.5255793616090949,0.35679930039352864,0.6432006996064713
WK036398,1605,675,0.048,0.313,0.271,1.1,160,175,,2.02,1.75,916.0,293,32.4,642.6,211.275,182.925,335,1270,0.09968847352024922,0.10903426791277258,0.7912772585669782,0.2087227414330218
